BLDG_NM,THING_AMT,address,latitude,longitude,THING_AMT_KOR
DM7 화양,25000,서울특별시 광진구 화양동 0029-0025 DM7 화양,37.5448129170703,127.073730110469,2억 5천
JHBILL,47500,서울특별시 광진구 중곡동 0255-0001 JHBILL,37.5621669307289,127.077959445943,4억 7천
KCC파크타운,23600,서울특별시 광진구 화양동 0527-0000 KCC파크타운,37.5465827364135,127.075037832318,2억 3천
K아트빌,51700,서울특별시 광진구 구의동 0232-0070 K아트빌,37.5439212963001,127.087570123075,5억 1천
LAXVILL,44000,서울특별시 광진구 능동 0246-0015 LAXVILL,37.55441597635,127.085186781751,4억 4천
M캐슬가을,55000,서울특별시 광진구 능동 0240-0008 M캐슬가을,37.5534575678184,127.081900469659,5억 5천
RICHEN5,27000,서울특별시 광진구 중곡동 0288-0035 RICHEN5,37.5696624340103,127.086948362177,2억 7천
RIVERSIDE,53000,서울특별시 광진구 자양동 0553-0142 RIVERSIDE,37.5369837503332,127.065348847751,5억 3천
SKY파크뷰,30000,서울특별시 광진구 구의동 0204-0025 SKY파크뷰,37.5429158907262,127.091582872339,3억
THEArium,64700,서울특별시 광진구 중곡동 0126-0023 THEArium,37.558085933836,127.086896541723,6억 4천
THEHEAVEN,47000,서울특별시 광진구 중곡동 0253-0032 THEHEAVEN,37.5615956287029,127.076273787634,4억 7천
TheHILL,41000,서울특별시 광진구 구의동 0016-0001 TheHILL,37.5549229659965,127.096324780607,4억 1천
WinnerSiwon,69500,서울특별시 광진구 자양동 0227-0144 WinnerSiwon,37.5369773591271,127.076165996637,6억 9천
Y-PARK(와이파크),70000,서울특별시 광진구 자양동 0601-0018 Y-PARK(와이파크),37.5324325547136,127.075710064978,7억
Y-PARK2차,56000,서울특별시 광진구 자양동 0680-0011 Y-PARK2차,37.5361391062664,127.084078219237,5억 6천
YN빌라(3동),27500,서울특별시 광진구 구의동 0209-0071 YN빌라(3동),37.5411260904641,127.091421365538,2억 7천
e편한세상광진그랜드파크,228500,서울특별시 광진구 구의동 0680-0000 e편한세상광진그랜드파크,37.5441837427939,127.080896132131,22억 8천
storyhouseⅣ,35800,서울특별시 광진구 구의동 0204-0012 storyhouseⅣ,37.5429060104646,127.092006962797,3억 5천
秀GreenVill,41800,서울특별시 광진구 중곡동 0124-0048 秀GreenVill,37.5581649546863,127.087380240668,4억 1천
가든시티,37200,서울특별시 광진구 중곡동 0211-0024 가든시티,37.5691362709934,127.082786964186,3억 7천
가든카운티102동,47500,서울특별시 광진구 능동 0315-0001 가든카운티102동,37.5526723983253,127.077693453232,4억 7천
가은이스투아,55000,서울특별시 광진구 구의동 0220-0036 가은이스투아,37.5392186827974,127.089765819744,5억 5천
강변리치빌,70000,서울특별시 광진구 자양동 0683-0019 강변리치빌,37.5331867554481,127.087728411352,7억
강변빌라3동,35000,서울특별시 광진구 광장동 0182-0015 강변빌라3동,37.5484355889922,127.108591417318,3억 5천
강변아파트,19000,서울특별시 광진구 구의동 0198-0005 강변아파트,37.5398764430706,127.09547094138,1억 9천
강변에스케이뷰,24400,서울특별시 광진구 구의동 0667-0000 강변에스케이뷰,37.5386707378926,127.090182113114,2억 4천
강변역 센트럴 아이파크,149380,서울특별시 광진구 구의동 0592-0039 강변역 센트럴 아이파크,37.5345276620302,127.090308481473,14억 9천
강변연립(665-4),68500,서울특별시 광진구 자양동 0665-0004 강변연립(665-4),37.5301174203212,127.083736127294,6억 8천
강변현대하이엘,154000,서울특별시 광진구 구의동 0547-0000 강변현대하이엘,37.534151371835,127.09221581351,15억 4천
개성하이빌,45000,서울특별시 광진구 구의동 0066-0076 개성하이빌,37.5455933063556,127.088019620448,4억 5천
거성빌라5차,22500,서울특별시 광진구 중곡동 0075-0003 거성빌라5차,37.5584576980413,127.092914188385,2억 2천
건국빌라(12-25),33000,서울특별시 광진구 화양동 0012-0025 건국빌라(12-25),37.5435617718882,127.070664404685,3억 3천
건대 트레비앙 오피스텔,25500,서울특별시 광진구 화양동 0174-0000 건대 트레비앙 오피스텔,37.5475682226645,127.071299514156,2억 5천
건대입구역자이엘라,33200,서울특별시 광진구 자양동 0002-0002 건대입구역자이엘라,37.5391238503525,127.069683630291,3억 3천
건일빌라,32700,서울특별시 광진구 중곡동 0617-0001 건일빌라,37.5611356155243,127.077051444492,3억 2천
결,20500,서울특별시 광진구 자양동 0680-0006 결,37.5361391062664,127.084078219237,2억
경남,98000,서울특별시 광진구 자양동 0641-0000 경남,37.5289477821397,127.078966591413,9억 8천
경남아너스빌,89000,서울특별시 광진구 자양동 0666-0028 경남아너스빌,37.5292885731061,127.082864749328,8억 9천
경성빌라,45500,서울특별시 광진구 화양동 0024-0014 경성빌라,37.5459126255777,127.066853054858,4억 5천
경성타워,58000,서울특별시 광진구 자양동 0640-0020 경성타워,37.5296552866605,127.079178672237,5억 8천
경성하이츠,34000,서울특별시 광진구 군자동 0240-0000 경성하이츠,37.5529113453304,127.076447478776,3억 4천
공원빌라,30000,서울특별시 광진구 구의동 0051-0019 공원빌라,37.5526821428695,127.091157422921,3억
