id,listing,rental_condition,details,agency,address,latitude,longitude,transaction_type,deposit,monthly_rent,housing_type,area_info,floor_info,direction
1705,집주인빌라,"월세2,000/180","빌라36/29m², 고/5층, 북동향",장안드림부동산공인중개사사무소,서울시 광진구 중곡동 641-2,37.5589333800312,127.078041073991,월세,2000,180,빌라,36/29m,고/5층,북동향
1706,집주인상가주택,"월세1,000/65","상가주택29/29m², 3/4층, 북동향",군자역비채온공인중개사사무소,서울시 광진구 중곡동 616-8,37.5612234468774,127.076799138929,월세,1000,65,상가주택,29/29m,3/4층,북동향
1707,집주인일반원룸,"월세3,000/35","원룸19/19m², 저/5층, 남동향",The두꺼비공인중개사사무소,서울시 광진구 중곡동 616-8,37.5612234468774,127.076799138929,월세,3000,35,원룸,19/19m,저/5층,남동향
1708,집주인일반원룸,월세500/50,"원룸40/34m², 1/3층, 남동향",한국공인중개사사무소,서울시 광진구 중곡동 107-16,37.5566757161067,127.093699675006,월세,500,50,원룸,40/34m,1/3층,남동향
1709,집주인다가구,"월세1억 2,000/60","단독/다가구39/39m², 2/5층, 남동향",시대공인중개사사무소,서울시 광진구 중곡동 243-30,37.5618765554896,127.080089474844,월세,12000,60,단독/다가구,39/39m,2/5층,남동향
1710,집주인빌라,"월세2,000/180","빌라36/29m², 4/5층, 북동향",장안드림부동산공인중개사사무소,서울시 광진구 중곡동 641-2,37.5589333800312,127.078041073991,월세,2000,180,빌라,36/29m,4/5층,북동향
1711,집주인빌라,"월세1,500/160","빌라35/27m², 5/5층, 북동향",장안드림부동산공인중개사사무소,서울시 광진구 중곡동 641-2,37.5589333800312,127.078041073991,월세,1500,160,빌라,35/27m,5/5층,북동향
1712,집주인빌라,"월세5,000/100","빌라30/24m², 6/6층, 남서향",사계절공인중개사사무소,서울시 광진구 중곡동 641-2,37.5589333800312,127.078041073991,월세,5000,100,빌라,30/24m,6/6층,남서향
1713,집주인다가구,"전세2억 7,000","단독/다가구43/43m², 3/4층, 동향",군자역무지개부동산,서울시 광진구 중곡동 343-18,37.5608833839185,127.082964581302,전세,27000,0,단독/다가구,43/43m,3/4층,동향
1714,집주인다가구,"전세2억 2,000","단독/다가구46/41m², 3/5층, 북동향",세림부동산공인중개사사무소,서울시 광진구 중곡동 192-62,37.566030659421,127.080792866261,전세,22000,0,단독/다가구,46/41m,3/5층,북동향
1715,빌라,단기임대300/140,"빌라28/19m², 6/7층, 남동향",태양공인중개사사무소,서울시 광진구 중곡동 241-15,37.5629456421463,127.081196886266,단기임대,0,140,빌라,28/19m,6/7층,남동향
1716,빌라,월세300/140,"빌라28/19m², 6/7층, 남동향",태양공인중개사사무소,서울시 광진구 중곡동 241-15,37.5629456421463,127.081196886266,월세,300,140,빌라,28/19m,6/7층,남동향
1717,집주인빌라,월세2억/29,"빌라32/22m², 4/6층, 남서향",사계절공인중개사사무소,서울시 광진구 중곡동 142-16,37.5574702349643,127.082181238011,월세,20000,29,빌라,32/22m,4/6층,남서향
1718,집주인다가구,"전세2억 3,000","단독/다가구40/40m², 중/4층, 남동향",군자역무지개부동산,서울시 광진구 중곡동 343-18,37.5608833839185,127.082964581302,전세,23000,0,단독/다가구,40/40m,중/4층,남동향
1719,집주인빌라,"월세5,000/100","빌라30/24m², 6/6층, 남서향",사계절공인중개사사무소,서울시 광진구 중곡동 211-19,37.5694663546664,127.082588220336,월세,5000,100,빌라,30/24m,6/6층,남서향
1720,집주인일반원룸,"월세3,000/40","원룸-/21m², 3/4층, 북동향",공명부동산공인중개사사무소,서울시 광진구 중곡동 211-19,37.5694663546664,127.082588220336,월세,3000,40,원룸,-/21m,3/4층,북동향
1721,집주인단독,"전세8,000","단독/다가구55/50m², B1/2층, 동향",신세계공인중개사,서울시 광진구 중곡동 122-7,37.5567165227801,127.087121528348,전세,8000,0,단독/다가구,55/50m,B1/2층,동향
1722,집주인일반원룸,"월세2,000/120","원룸30/25m², 1/5층, 서향",하루공인중개사사무소,서울시 광진구 중곡동 175-75,37.5690436792026,127.081968469828,월세,2000,120,원룸,30/25m,1/5층,서향
1723,집주인다가구,"월세1,000/50","단독/다가구-/33m², B1/3층, 북향",늘온공인중개사사무소,서울시 광진구 중곡동 18-114,37.5649172404084,127.087814504821,월세,1000,50,단독/다가구,-/33m,B1/3층,북향
1724,집주인다가구,"월세1,000/50","단독/다가구23/21m², 1/4층, 북동향",공명부동산공인중개사사무소,서울시 광진구 중곡동 18-114,37.5649172404084,127.087814504821,월세,1000,50,단독/다가구,23/21m,1/4층,북동향
1725,집주인빌라,"월세1,000/66","빌라32/25m², 2/5층, 서향",공명부동산공인중개사사무소,서울시 광진구 중곡동 18-114,37.5649172404084,127.087814504821,월세,1000,66,빌라,32/25m,2/5층,서향
1726,집주인다가구,"월세2,000/85","단독/다가구99/49m², 2/3층, 북동향",스카이탑(SkyTop)공인중개사사무소,서울시 광진구 중곡동 632-15,37.5598727357674,127.07600549235,월세,2000,85,단독/다가구,99/49m,2/3층,북동향
1727,집주인빌라,"전세1억 2,000","빌라26/20m², 2/5층, 동향",The두꺼비공인중개사사무소,서울시 광진구 중곡동 632-15,37.5598727357674,127.07600549235,전세,12000,0,빌라,26/20m,2/5층,동향
1728,집주인일반원룸,"월세1,000/66","원룸32/25m², 2/5층, 북동향",군자역비채온공인중개사사무소,서울시 광진구 중곡동 643-8,37.5592034347699,127.078274051701,월세,1000,66,원룸,32/25m,2/5층,북동향
1729,일반원룸,"전세1억 8,900","원룸-/18m², 3/5층, 동향",까치공인중개사사무소,서울시 광진구 중곡동 138-29,37.5574225673692,127.082832854886,전세,18900,0,원룸,-/18m,3/5층,동향
1730,다가구,"월세2,000/85","단독/다가구-/49m², 2/3층, 동향",서울공인중개사사무소,서울시 광진구 중곡동 632-15,37.5598727357674,127.07600549235,월세,2000,85,단독/다가구,-/49m,2/3층,동향
1731,집주인기타,"월세1,000/45","원룸43/40m², B1/2층, 남서향",국민공인중개사사무소,서울시 광진구 중곡동 92-28,37.5553711064384,127.088996939699,월세,1000,45,원룸,43/40m,B1/2층,남서향
1732,집주인일반원룸,"월세1,000/50","원룸23/23m², 4/4층, 남향",The두꺼비공인중개사사무소,서울시 광진구 중곡동 92-28,37.5553711064384,127.088996939699,월세,1000,50,원룸,23/23m,4/4층,남향
1733,집주인빌라,"월세5,000/95","빌라30/24m², 3/6층, 서향",행복드림공인중개사사무소,서울시 광진구 중곡동 211-19,37.5694663546664,127.082588220336,월세,5000,95,빌라,30/24m,3/6층,서향
1734,집주인빌라,월세2억/29,"빌라32/22m², 4/6층, 남서향",사계절공인중개사사무소,서울시 광진구 중곡동 142-16,37.5574702349643,127.082181238011,월세,20000,29,빌라,32/22m,4/6층,남서향
1735,집주인일반원룸,"월세8,000/10","원룸31/28m², 4/4층, 남서향",국민공인중개사사무소,서울시 광진구 중곡동 124-56,37.5579974921093,127.087579236955,월세,8000,10,원룸,31/28m,4/4층,남서향
